X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
9750.00,9000.00,0.0326,0.0475,0.0705,0.1039,0.1995,0.1995,0.2407,0.2498,0.298,0.0828,0.011,0.3392,0.2006
9800.00,9000.00,0.0332,0.0501,0.0757,0.1095,0.2201,0.2201,0.2653,0.2745,0.326,0.0869,0.011,0.3396,0.1994
9850.00,9000.00,0.0321,0.0488,0.0739,0.1065,0.2216,0.2216,0.2694,0.2798,0.3351,0.0894,0.0109,0.3455,0.2005
9900.00,9000.00,0.0303,0.0457,0.069,0.0953,0.2199,0.2199,0.2687,0.2783,0.3306,0.0876,0.0109,0.3244,0.1878
9550.00,8950.00,0.0218,0.0234,0.0393,0.0405,0.2283,0.2283,0.3043,0.3067,0.356,0.0903,0.0109,0.1932,0.0936
9600.00,8950.00,0.0229,0.0318,0.0515,0.0631,0.2259,0.2259,0.2909,0.2972,0.3481,0.0893,0.0109,0.2535,0.133
9650.00,8950.00,0.027,0.0425,0.0654,0.0922,0.2068,0.2068,0.2527,0.2621,0.3129,0.0864,0.0109,0.3195,0.1812
9700.00,8950.00,0.0301,0.0437,0.0646,0.0942,0.1875,0.1875,0.2263,0.234,0.2824,0.0836,0.0109,0.3323,0.1961
9750.00,8950.00,0.0312,0.0463,0.0689,0.1026,0.2005,0.2005,0.2424,0.25,0.2991,0.085,0.0108,0.3344,0.1952
9800.00,8950.00,0.0293,0.0447,0.0688,0.0984,0.225,0.225,0.2748,0.283,0.3351,0.0881,0.0109,0.3188,0.1785
9850.00,8950.00,0.0265,0.0352,0.0555,0.0705,0.2243,0.2243,0.2791,0.2859,0.3366,0.0855,0.0108,0.2705,0.1457
9900.00,8950.00,0.0243,0.0304,0.0475,0.0546,0.2099,0.2099,0.2611,0.2664,0.3104,0.0778,0.0108,0.2352,0.1262
9350.00,8900.00,0.024,0.0355,0.0565,0.0739,0.2329,0.2329,0.2922,0.2973,0.3479,0.0871,0.0108,0.2595,0.1409
9400.00,8900.00,0.0277,0.0424,0.0662,0.0929,0.2358,0.2358,0.2908,0.2976,0.3512,0.0931,0.0108,0.2859,0.1595
9450.00,8900.00,0.0285,0.0436,0.0674,0.0963,0.2284,0.2284,0.2806,0.2889,0.3422,0.0919,0.0108,0.2873,0.1613
