X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
9750.00,9000.00,0.0307,0.0361,0.0655,0.0467,0.1144,0.3056,0.3908,0.3858,0.455,0.0959,0.0113,0.2055,0.0984
9800.00,9000.00,0.0304,0.0347,0.0639,0.0449,0.1124,0.3135,0.3988,0.3915,0.4604,0.0946,0.0113,0.2065,0.0962
9850.00,9000.00,0.0293,0.0323,0.0592,0.0405,0.1056,0.3236,0.4176,0.408,0.4769,0.0945,0.0112,0.1987,0.0897
9900.00,9000.00,0.029,0.0316,0.0563,0.0389,0.0997,0.315,0.4117,0.4017,0.4677,0.0915,0.0111,0.195,0.0898
9550.00,8950.00,0.0295,0.03,0.0502,0.0378,0.0877,0.2845,0.3799,0.3697,0.4327,0.0884,0.0114,0.193,0.0877
9600.00,8950.00,0.0283,0.0325,0.0584,0.0411,0.1019,0.3011,0.3921,0.3859,0.4534,0.0926,0.0114,0.2014,0.0915
9650.00,8950.00,0.0294,0.0349,0.0634,0.0452,0.1114,0.302,0.3865,0.3821,0.4508,0.0937,0.0113,0.2027,0.0945
9700.00,8950.00,0.0301,0.0353,0.0641,0.0454,0.1118,0.3031,0.3907,0.3866,0.4567,0.0935,0.0112,0.204,0.0965
9750.00,8950.00,0.0302,0.035,0.0635,0.0449,0.1113,0.3016,0.387,0.3815,0.4507,0.0934,0.0112,0.2023,0.0956
9800.00,8950.00,0.0299,0.034,0.0615,0.0439,0.1097,0.3046,0.3885,0.3817,0.4494,0.0906,0.0112,0.2015,0.0934
9850.00,8950.00,0.0295,0.032,0.056,0.0415,0.1014,0.2941,0.3748,0.3656,0.4289,0.0848,0.0112,0.1973,0.0912
9900.00,8950.00,0.0298,0.0326,0.0524,0.0427,0.0926,0.2591,0.3299,0.3213,0.3764,0.0759,0.0111,0.2014,0.0983
9350.00,8900.00,0.0348,0.0451,0.067,0.0857,0.124,0.2288,0.2865,0.2864,0.3416,0.0745,0.0113,0.2753,0.1556
9400.00,8900.00,0.0372,0.0505,0.0739,0.102,0.1391,0.2228,0.2755,0.277,0.3343,0.0783,0.0114,0.2932,0.1705
9450.00,8900.00,0.0376,0.0516,0.0747,0.1058,0.14,0.2114,0.2615,0.2637,0.3196,0.0779,0.0114,0.296,0.1745
9500.00,8900.00,0.0342,0.0411,0.0618,0.0733,0.1125,0.235,0.3003,0.2979,0.3546,0.0807,0.0115,0.2466,0.1343
9550.00,8900.00,0.0301,0.0323,0.0555,0.0429,0.0972,0.2833,0.3696,0.3636,0.427,0.0873,0.0114,0.2042,0.0953
9600.00,8900.00,0.0289,0.0339,0.0615,0.0448,0.1074,0.2854,0.3634,0.3594,0.4247,0.0888,0.0114,0.2036,0.0945
9650.00,8900.00,0.0296,0.034,0.0609,0.0453,0.1064,0.2742,0.3453,0.34,0.4027,0.0869,0.0113,0.1992,0.0938
9700.00,8900.00,0.0301,0.0352,0.0625,0.0467,0.1089,0.2843,0.3618,0.3572,0.422,0.0868,0.0112,0.2025,0.0966
9750.00,8900.00,0.0304,0.0343,0.0604,0.0451,0.1069,0.2883,0.3682,0.3628,0.4277,0.0873,0.0112,0.2052,0.0969
9800.00,8900.00,0.0303,0.0331,0.0555,0.0446,0.1003,0.2702,0.342,0.3348,0.395,0.0816,0.0112,0.2106,0.0995
9850.00,8900.00,0.03,0.0327,0.0503,0.0452,0.0901,0.2212,0.2761,0.2691,0.3197,0.0706,0.0112,0.2075,0.1024
9900.00,8900.00,0.03,0.032,0.045,0.0443,0.0793,0.1713,0.2112,0.2065,0.2464,0.0598,0.0112,0.1997,0.1041
