X,Y,K,U,Th,TC
9850,8700,-3.18953,-1.32861,1.02805,33.7179
9900,8700,-0.55414,-1.47587,0.08276,19.74141
8450,8650,28.02326,15.03141,10.06201,437.81515
8500,8650,23.80744,12.2185,8.13303,379.12061
8550,8650,20.08091,9.51151,6.32757,329.06564
8600,8650,17.03149,6.98573,4.78846,292.55503
8650,8650,15.35293,5.20956,4.12108,275.19256
8700,8650,14.61716,3.92317,4.21815,270.24051
8750,8650,14.45564,2.65298,4.72583,271.62238
8800,8650,14.24781,1.33788,5.05051,274.61775
8850,8650,12.04196,1.82071,3.5022,273.7982
8900,8650,10.38402,2.00607,1.75974,270.72293
8950,8650,9.45347,2.26071,0.2574,266.13971
9000,8650,9.40098,2.4971,-0.41417,267.04812
9050,8650,11.55232,1.33213,0.3719,284.97798
9100,8650,11.32582,0.78371,1.2602,295.49086
9150,8650,8.36514,1.30589,1.37996,296.57768
9200,8650,5.63636,3.24302,0.7241,313.97307
9250,8650,10.08425,3.15611,1.83075,360.91223
9300,8650,16.57596,5.06299,3.01549,437.73327
9350,8650,22.68567,7.41161,4.06037,508.64175
9400,8650,26.32458,8.7325,4.45929,545.05736
9450,8650,24.78087,5.95353,3.2512,485.23944
9500,8650,19.1328,2.59484,1.1216,375.62766
9550,8650,11.67083,-0.5803,-1.26899,254.7492
9600,8650,5.20679,-2.62834,-2.96442,156.30491
9650,8650,2.36348,-2.99296,-2.55024,111.43585
9700,8650,-1.06491,-2.324,-1.38794,80.87193
9750,8650,-4.09483,-1.48942,0.08174,52.7624
9800,8650,-4.80892,-1.05021,1.50052,28.20595
9850,8650,-1.89036,-1.24478,2.06887,11.96287
9900,8650,0.34349,-2.62541,1.62459,-0.93108
8250,8600,36.40009,23.00623,15.27484,610.89287
8300,8600,31.92496,20.37013,13.57783,540.03546
8350,8600,27.04059,16.90546,11.35603,471.69348
8400,8600,22.1734,13.35817,9.03578,407.73384
8450,8600,17.71991,10.14944,6.87519,349.69647
8500,8600,13.93117,7.16587,4.84402,297.52192
8550,8600,10.67538,4.23292,2.8858,252.52416
8600,8600,8.00181,1.51274,1.21531,221.09346
8650,8600,7.63298,0.54572,1.14985,217.76063
8700,8600,8.30917,0.14722,2.11995,228.59456
8750,8600,9.74536,-0.72906,3.69615,246.50675
8800,8600,11.27821,-1.99606,5.07852,266.98113
8850,8600,9.21138,0.08413,3.11572,282.82817
8900,8600,9.56691,0.67877,1.8214,298.813
8950,8600,10.80812,0.69683,0.86081,308.0618
9000,8600,11.28131,-0.00009,0.72618,307.00894
9050,8600,18.11875,-0.54531,2.5293,370.40477
9100,8600,17.91718,-0.45252,3.87534,392.37273
