X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
6700,5450,0.0335,0.0355,0.0442,0.0553,0.073,0.1127,0.1364,0.138,0.169,0.0474,0.0108,0.2393,0.1601
6750,5450,0.0325,0.0344,0.0429,0.0547,0.0717,0.1103,0.1341,0.1373,0.168,0.045,0.0108,0.244,0.1614
6800,5450,0.032,0.0339,0.0415,0.0549,0.0705,0.1047,0.129,0.1322,0.1626,0.0443,0.0108,0.2538,0.1696
6850,5450,0.0316,0.0338,0.0417,0.055,0.071,0.1058,0.1297,0.1346,0.1645,0.0442,0.0109,0.256,0.1697
6900,5450,0.0312,0.0326,0.0399,0.0544,0.0691,0.1006,0.1239,0.1279,0.1581,0.0442,0.0109,0.2699,0.1818
6950,5450,0.0309,0.0325,0.0406,0.0558,0.072,0.1075,0.1332,0.1378,0.1699,0.0449,0.011,0.2748,0.1827
7000,5450,0.0309,0.0331,0.0415,0.0584,0.0747,0.1107,0.1372,0.1426,0.176,0.0462,0.011,0.2798,0.1855
7050,5450,0.031,0.0335,0.0417,0.0584,0.0741,0.1074,0.1322,0.1378,0.1697,0.0461,0.0111,0.2831,0.1897
7100,5450,0.0317,0.0359,0.0453,0.0582,0.077,0.1198,0.1468,0.1499,0.1822,0.0473,0.011,0.2616,0.1711
7150,5450,0.0318,0.0344,0.0455,0.0516,0.0772,0.1398,0.1705,0.171,0.2046,0.0497,0.0109,0.2117,0.1277
7200,5450,0.0302,0.0293,0.0401,0.0412,0.0711,0.1417,0.174,0.1722,0.206,0.0518,0.0108,0.1758,0.0953
7250,5450,0.0282,0.0278,0.0395,0.0378,0.0696,0.1565,0.1943,0.1896,0.2273,0.0575,0.0108,0.1653,0.085
7300,5450,0.0274,0.0286,0.0457,0.0363,0.0791,0.2249,0.2867,0.2806,0.331,0.0702,0.0106,0.162,0.0778
7350,5450,0.0268,0.0293,0.0517,0.038,0.0917,0.2609,0.3354,0.3287,0.39,0.0814,0.0106,0.1733,0.0792
7400,5450,0.0267,0.0298,0.0539,0.0393,0.0982,0.2757,0.3559,0.3479,0.4159,0.0868,0.0107,0.1857,0.0839
0,5400,0.0234,0.0234,0.0283,0.0368,0.0473,0.073,0.0921,0.0945,0.1206,0.0362,0.0107,0.2325,0.1546
50,5400,0.0233,0.0234,0.0275,0.0363,0.045,0.0655,0.0824,0.0862,0.1097,0.0335,0.0107,0.2458,0.1645
100,5400,0.0231,0.0234,0.0272,0.0363,0.0448,0.064,0.0805,0.0857,0.1083,0.0332,0.0106,0.2545,0.1724
150,5400,0.0239,0.0251,0.0292,0.0394,0.0479,0.0668,0.0836,0.0891,0.1129,0.0341,0.0107,0.2656,0.1819
